conm,fyear,sale,cogs,ni,at,lt,ceq,gross_margin,net_margin,roe,roa,debt_ratio
ALPHABET INC,2023,307394,120907,73795,402392,119013,281079,0.6066709174544721,0.24006649446638517,0.2625418476656029,0.18339082287918249,0.29576383228294795
ALPHABET INC,2024,350018,130842,100118,450256,125172,321984,0.626184939060277,0.28603671811164,0.3109409163188233,0.22235794747876764,0.27800184783767456
ALPHABET INC,2025,402836,141399,132170,595281,180016,412706,0.6489911527271645,0.3280987796522654,0.32025218920975224,0.22202959610671263,0.3024050826416432
APPLE INC,2023,383285,205637,96995,352583,290437,62146,0.46348800500932724,0.2530623426432028,1.5607601454639075,0.27509834563776475,0.8237407929480435
APPLE INC,2024,391035,202152,93736,364980,308030,56950,0.4830334880509417,0.23971255769943867,1.6459350307287095,0.25682503150857583,0.8439640528248123
APPLE INC,2025,416161,212960,112010,359241,285508,73733,0.4882749705042039,0.2691506412181824,1.5191298333175105,0.3117962593356549,0.7947533828265705
JOHNSON & JOHNSON,2023,85159,18457,35153,167558,98784,68774,0.7832642468793668,0.41279254101151963,0.511137930031698,0.20979601093352748,0.5895510808197758
JOHNSON & JOHNSON,2024,88821,19646,14066,180104,108614,71490,0.7788135688632193,0.1583634500850024,0.19675479087984332,0.07809932039266201,0.6030626748989473
JOHNSON & JOHNSON,2025,94193,22575,26804,199210,117666,81544,0.7603325087851539,0.2845646704107524,0.3287059746885117,0.13455147833944078,0.5906631193213192
MICROSOFT CORP,2023,211915,52211,72361,411976,205753,206223,0.7536229148479343,0.3414623787839464,0.35088714643856406,0.175643726819038,0.499429578422044
MICROSOFT CORP,2024,245122,54114,88136,512163,243686,268477,0.7792364618434902,0.35955972944084985,0.32828137978299815,0.17208583985957596,0.47579774407756903
MICROSOFT CORP,2025,281724,59831,101832,619003,275524,343479,0.7876254774176144,0.3614601524896707,0.2964722734140952,0.16450970350709124,0.44510931287893596
TESLA INC,2023,96773,74446,14997,106618,43009,62634,0.2307151788205388,0.15497091130790613,0.23943864354823258,0.1406610516047947,0.4033934232493575
TESLA INC,2024,97690,74872,7091,122070,48390,72913,0.23357559627392774,0.07258675401781145,0.09725289043106168,0.05808962070942902,0.3964118948144507
TESLA INC,2025,94827,71585,3794,137806,54941,82137,0.2450989697027218,0.04000970187815706,0.04619111971462313,0.02753145726601164,0.39868365673483014
WALMART INC,2023,645737,478289,15511,252399,161828,83861,0.25931300204262725,0.02402061520402269,0.18496082803687053,0.0614542846841707,0.641159434070658
WALMART INC,2024,678338,498780,19436,260823,163131,91013,0.2647028472531393,0.02865238273545047,0.2135519101666795,0.07451796812397679,0.6254471423149032
WALMART INC,2025,710813,521112,21893,284668,178488,99617,0.2668789118938455,0.030799943163673148,0.21977172570946726,0.07690713392443127,0.6270040889738221
